,Delay,Readings,Time_diff
0, 1,1.0,15.0
1, 1,2.0,26.0
2, 1,3.0,30.333333333333332
3, 1,4.0,55.0
4, 1,5.0,59.333333333333336
5, 1,6.0,70.66666666666667
6, 1,7.0,81.66666666666667
7, 1,8.0,93.0
8, 1,9.0,103.66666666666667
9, 1,10.0,115.33333333333333
10, 1,11.0,126.33333333333333
11, 1,12.0,137.33333333333334
12, 1,13.0,148.66666666666666
13, 1,14.0,159.66666666666666
14, 1,15.0,170.66666666666666
15, 1,16.0,113.0
16, 128,1.0,130.66666666666666
17, 128,2.0,132.0
18, 128,3.0,153.66666666666666
19, 128,4.0,159.66666666666666
20, 128,5.0,171.0
21, 128,6.0,181.66666666666666
22, 128,7.0,193.33333333333334
23, 128,8.0,204.33333333333334
24, 128,9.0,215.33333333333334
25, 128,10.0,226.66666666666666
26, 128,11.0,237.33333333333334
27, 128,12.0,249.0
28, 128,13.0,260.0
29, 128,14.0,271.0
30, 128,15.0,282.0
31, 128,16.0,192.66666666666666
32, 16,1.0,26.333333333333332
33, 16,2.0,18.0
34, 16,3.0,45.333333333333336
35, 16,4.0,48.333333333333336
36, 16,5.0,59.333333333333336
37, 16,6.0,70.33333333333333
38, 16,7.0,81.66666666666667
39, 16,8.0,93.0
40, 16,9.0,104.0
41, 16,10.0,115.0
42, 16,11.0,126.33333333333333
43, 16,12.0,131.33333333333334
44, 16,13.0,154.66666666666666
45, 16,14.0,159.66666666666666
46, 16,15.0,170.66666666666666
47, 16,16.0,120.66666666666667
48, 2,1.0,15.666666666666666
49, 2,2.0,26.0
50, 2,3.0,37.0
51, 2,4.0,48.333333333333336
52, 2,5.0,59.333333333333336
53, 2,6.0,70.66666666666667
54, 2,7.0,81.66666666666667
55, 2,8.0,92.66666666666667
56, 2,9.0,104.33333333333333
57, 2,10.0,115.0
58, 2,11.0,126.33333333333333
59, 2,12.0,137.33333333333334
60, 2,13.0,148.33333333333334
61, 2,14.0,160.0
62, 2,15.0,170.66666666666666
63, 2,16.0,118.66666666666667
64, 256,1.0,250.66666666666666
65, 256,2.0,269.0
66, 256,3.0,271.0
67, 256,4.0,282.3333333333333
68, 256,5.0,382.3333333333333
69, 256,6.0,393.6666666666667
70, 256,7.0,319.0
71, 256,8.0,327.3333333333333
72, 256,9.0,341.6666666666667
73, 256,10.0,349.0
74, 256,11.0,360.3333333333333
75, 256,12.0,464.3333333333333
76, 256,13.0,467.6666666666667
77, 256,14.0,394.0
78, 256,15.0,408.3333333333333
79, 256,16.0,274.3333333333333
80, 32,1.0,32.666666666666664
81, 32,2.0,37.0
82, 32,3.0,48.333333333333336
83, 32,4.0,59.666666666666664
84, 32,5.0,70.33333333333333
85, 32,6.0,81.66666666666667
86, 32,7.0,92.66666666666667
87, 32,8.0,104.33333333333333
88, 32,9.0,115.0
89, 32,10.0,126.33333333333333
90, 32,11.0,137.33333333333334
91, 32,12.0,148.66666666666666
92, 32,13.0,159.66666666666666
93, 32,14.0,170.66666666666666
94, 32,15.0,178.0
95, 32,16.0,129.66666666666666
96, 4,1.0,15.666666666666666
97, 4,2.0,26.0
98, 4,3.0,37.0
99, 4,4.0,48.333333333333336
100, 4,5.0,59.0
101, 4,6.0,71.0
102, 4,7.0,81.33333333333333
103, 4,8.0,93.33333333333333
104, 4,9.0,103.66666666666667
105, 4,10.0,115.33333333333333
106, 4,11.0,126.33333333333333
107, 4,12.0,137.33333333333334
108, 4,13.0,148.33333333333334
109, 4,14.0,160.0
110, 4,15.0,170.66666666666666
111, 4,16.0,118.66666666666667
112, 64,1.0,64.66666666666667
113, 64,2.0,70.66666666666667
114, 64,3.0,81.66666666666667
115, 64,4.0,93.0
116, 64,5.0,99.66666666666667
117, 64,6.0,119.33333333333333
118, 64,7.0,126.33333333333333
119, 64,8.0,137.33333333333334
120, 64,9.0,148.66666666666666
121, 64,10.0,159.66666666666666
122, 64,11.0,170.66666666666666
123, 64,12.0,182.0
124, 64,13.0,193.0
125, 64,14.0,204.33333333333334
126, 64,15.0,215.66666666666666
127, 64,16.0,149.66666666666666
128, 8,1.0,15.333333333333334
129, 8,2.0,26.0
130, 8,3.0,37.333333333333336
131, 8,4.0,48.0
132, 8,5.0,59.666666666666664
133, 8,6.0,70.33333333333333
134, 8,7.0,81.66666666666667
135, 8,8.0,93.0
136, 8,9.0,104.0
137, 8,10.0,115.0
138, 8,11.0,126.33333333333333
139, 8,12.0,137.33333333333334
140, 8,13.0,148.66666666666666
141, 8,14.0,159.66666666666666
142, 8,15.0,171.0
143, 8,16.0,117.66666666666667
