Readings, 1, 128, 16, 2, 256, 32, 4, 64, 8
1.0,15.0,130.66666666666666,26.333333333333332,15.666666666666666,250.66666666666666,32.666666666666664,15.666666666666666,64.66666666666667,15.333333333333334
2.0,26.0,132.0,18.0,26.0,269.0,37.0,26.0,70.66666666666667,26.0
3.0,30.333333333333332,153.66666666666666,45.333333333333336,37.0,271.0,48.333333333333336,37.0,81.66666666666667,37.333333333333336
4.0,55.0,159.66666666666666,48.333333333333336,48.333333333333336,282.3333333333333,59.666666666666664,48.333333333333336,93.0,48.0
5.0,59.333333333333336,171.0,59.333333333333336,59.333333333333336,382.3333333333333,70.33333333333333,59.0,99.66666666666667,59.666666666666664
6.0,70.66666666666667,181.66666666666666,70.33333333333333,70.66666666666667,393.6666666666667,81.66666666666667,71.0,119.33333333333333,70.33333333333333
7.0,81.66666666666667,193.33333333333334,81.66666666666667,81.66666666666667,319.0,92.66666666666667,81.33333333333333,126.33333333333333,81.66666666666667
8.0,93.0,204.33333333333334,93.0,92.66666666666667,327.3333333333333,104.33333333333333,93.33333333333333,137.33333333333334,93.0
9.0,103.66666666666667,215.33333333333334,104.0,104.33333333333333,341.6666666666667,115.0,103.66666666666667,148.66666666666666,104.0
10.0,115.33333333333333,226.66666666666666,115.0,115.0,349.0,126.33333333333333,115.33333333333333,159.66666666666666,115.0
11.0,126.33333333333333,237.33333333333334,126.33333333333333,126.33333333333333,360.3333333333333,137.33333333333334,126.33333333333333,170.66666666666666,126.33333333333333
12.0,137.33333333333334,249.0,131.33333333333334,137.33333333333334,464.3333333333333,148.66666666666666,137.33333333333334,182.0,137.33333333333334
13.0,148.66666666666666,260.0,154.66666666666666,148.33333333333334,467.6666666666667,159.66666666666666,148.33333333333334,193.0,148.66666666666666
14.0,159.66666666666666,271.0,159.66666666666666,160.0,394.0,170.66666666666666,160.0,204.33333333333334,159.66666666666666
15.0,170.66666666666666,282.0,170.66666666666666,170.66666666666666,408.3333333333333,178.0,170.66666666666666,215.66666666666666,171.0
16.0,113.0,192.66666666666666,120.66666666666667,118.66666666666667,274.3333333333333,129.66666666666666,118.66666666666667,149.66666666666666,117.66666666666667
